Module,Feature,Description,User Roles,React Screen,REST Endpoint,PHP Class
"Pet Management","Medication / Special Care Flag","Pets on active medication or special care are flagged in the SAL brief and highlighted during boarding.","All staff","/pets/:id","GET /pets/:id","OPB_SAL_Snapshot"
"Pet Management","Pet Archiving & Restoration","Archived pets are removed from booking selection and operational views. Restorable by super admin.","Super Admin","/admin/data-management","POST /admin/pets/:id/archive, /restore","OPB_Data_Management_API"
"Bookings","Booking Creation (Multi-pet)","Create a booking for one or more pets with individual stay dates, boarding service type, and add-on services.","Reception, Branch Manager, Super Admin","/bookings/new","POST /bookings","OPB_Bookings_API, OPB_Invoice_Generator"
"Bookings","Booking List with Filters","Filterable booking list by status, branch, date range, and client. Sortable by date and status.","All staff","/bookings","GET /bookings","OPB_Bookings_API"
"Bookings","Booking Detail View","Full booking record: client, pets, stays, add-ons, pricing breakdown, invoice link, status history.","All staff","/bookings/:id","GET /bookings/:id","OPB_Bookings_API"
"Bookings","Boarding Service Selection","Select from configured boarding services (e.g. Standard Suite, Premium Suite) with pricing auto-calculated by the pricing engine.","Reception, Branch Manager, Super Admin","/bookings/new","GET /settings/boarding","OPB_Pricing_Engine, OPB_Settings_API"
"Bookings","Add-on Services","Attach add-on services (grooming, medication, special meals) to any stay. Add or remove add-ons post-booking.","Reception, Branch Manager, Super Admin","/bookings/:id","POST/DELETE /bookings/:id/addons","OPB_Bookings_API"
"Bookings","Automatic Invoice Generation","Invoice is auto-generated on booking creation with line items for boarding + add-ons. Recalculates on stay changes.","Reception, Branch Manager, Super Admin","/bookings/new","POST /bookings","OPB_Invoice_Generator"
"Bookings","Check-In Workflow","Guided check-in screen. Assigns kennel, records actual check-in date/time, updates booking status to active.","Reception, Branch Manager, Super Admin","/bookings/:id/checkin","POST /bookings/:id/checkin","OPB_Bookings_API"
"Bookings","Check-Out Workflow","Guided check-out screen. Records actual departure, updates billing if stay extended, closes booking.","Reception, Branch Manager, Super Admin","/bookings/:id/checkout","POST /bookings/:id/checkout","OPB_Bookings_API"
"Bookings","Booking Cancellation & Restoration","Cancel bookings with reason. Super admin can restore cancelled bookings from data management.","Branch Manager, Super Admin","/bookings/:id, /admin/data-management","POST /admin/bookings/:id/cancel, /restore","OPB_Data_Management_API"
"Bookings","Overstay Detection","SAL automatically flags pets whose check-out date has passed but who are still actively boarded.","All (via SAL brief)","N/A (SAL delivery)","SAL pipeline","OPB_SAL_Snapshot"
"Kennel Management","Visual Kennel Occupancy Board","Card-based view of all kennels per branch showing current occupant, pet name, stay dates, and status. Colour-coded by state (vacant/occupied/cleaning).","All staff","/kennel","GET /kennel-board","OPB_Bookings_API"
"Kennel Management","Linear Timeline View","Horizontal timeline showing kennel occupancy across a date range. Identify gaps and plan capacity.","All staff","/kennel/linear","GET /kennel-board","OPB_Bookings_API"
"Kennel Management","Kennel Assignment at Check-In","Staff select or confirm kennel assignment during the check-in workflow.","Reception, Branch Manager, Super Admin","/bookings/:id/checkin","POST /stays/:id/assign-kennel","OPB_Bookings_API"
"Kennel Management","Kennel Configuration","Define kennels per branch: code, name, capacity notes, active/inactive status.","Super Admin","/settings/kennels","GET/POST /kennels, /kennels/:id","OPB_Kennels_API"
"Kennel Management","Kennel Staff Assignment","Assign staff members to specific kennels for responsibility tracking.","Super Admin, Branch Manager","/settings/kennels","—","OPB_Kennels_API"
"Invoicing","Invoice List","List all invoices with status filters (pending, partial, paid, overdue). Search by client or invoice ID.","Reception, Branch Manager, Super Admin","/invoices","GET /invoices","OPB_Invoices_API"
"Invoicing","Invoice Detail View","Full invoice with itemised line items, subtotals, payment records, and adjustment history.","Reception, Branch Manager, Super Admin","/invoices/:id","GET /invoices/:id","OPB_Invoices_API"
"Invoicing","PDF Document Generation","Generate a professional PDF invoice using mPDF. Includes facility branding, line items, payment terms, and QR code.","Reception, Branch Manager, Super Admin","/invoices/:id","POST /invoices/:id/document/generate","OPB_Invoice_Document, OPB_Invoice_Generator"
"Invoicing","PDF Email Delivery","Send the invoice PDF as an email attachment to the client's registered email address.","Reception, Branch Manager, Super Admin","/invoices/:id","POST /invoices/:id/send-email","OPB_Invoice_Delivery_API"
"Invoicing","WhatsApp Payment Link","Generate a WhatsApp deep-link with the invoice summary and payment instructions. Opens a pre-filled WhatsApp message.","Reception, Branch Manager, Super Admin","/invoices/:id","GET /invoices/:id/whatsapp-link","OPB_Invoice_Delivery_API"
"Invoicing","Public Invoice Summary Page","Token-gated public URL (no WP login required) where clients can view their invoice summary and download the PDF.","Public (client, via token)","WordPress frontend page","GET /public/invoice/:token","OPB_Public_Portal"
"Invoicing","Invoice Adjustment","Apply manual adjustments (discounts, corrections) to an invoice with a reason. Logged in audit trail.","Branch Manager, Super Admin","/invoices/:id","POST /invoices/:id/adjust","OPB_Invoices_API"
"Invoicing","Invoice Audit Trail","Every invoice action (generated, adjusted, emailed, payment recorded, PDF viewed) is logged with timestamp, actor, and change details.","Super Admin, Branch Manager","/invoices/:id","GET /invoices/:id/audit","OPB_Invoices_API"
"Invoicing","Payment Recording","Record full or partial payments against an invoice. Supports multiple payment modes (cash, card, bank transfer, UPI, wallet).","Reception, Branch Manager, Super Admin","/invoices/:id","POST /payments, GET /invoices/:id/payments","OPB_Payments_API"
"Invoicing","Overdue Invoice Tracking","Invoices unpaid beyond 7 days flagged as overdue. Highlighted in the SAL Accounts Snapshot and reports.","All (via SAL)","/invoices, SAL brief","SAL pipeline","OPB_SAL_Snapshot, OPB_Invoices_API"
"Task Management","Task List with Filters","View tasks by branch, status, priority, and due date. Supports overdue filter.","All staff","/tasks","GET /tasks","OPB_Tasks_API"
"Task Management","Task Creation","Create tasks with title, description, branch, assignee, priority (low/medium/high/urgent), and due date.","Reception, Branch Manager, Super Admin","/tasks","POST /tasks","OPB_Tasks_API"
"Task Management","Task Status Workflow","Move tasks through open → in progress → done. Status changes logged with timestamp.","All staff","/tasks","PUT /tasks/:id","OPB_Tasks_API"
"Task Management","Assignee Management","Assign tasks to specific staff members. Unassigned tasks are flagged in SAL briefs.","Branch Manager, Super Admin","/tasks","PUT /tasks/:id","OPB_Tasks_API"
"Task Management","Overdue Task Alerts (SAL)","SAL morning and evening briefs list all overdue tasks by branch with title and due date.","All (via SAL)","N/A (SAL delivery)","SAL pipeline","OPB_SAL_Snapshot"
"Task Management","Priority Management","Four priority levels: low, medium, high, urgent. High/urgent tasks highlighted in the task list.","All staff","/tasks","GET/PUT /tasks","OPB_Tasks_API"
"Expense Tracking","Expense Recording","Record branch expenses with description, amount, category, date, and optional notes.","Reception, Branch Manager, Super Admin","/expenses","POST /expenses","OPB_Expenses_API"
"Expense Tracking","Expense List with Filters","Filter expenses by branch, category, date range. Displays running totals.","Branch Manager, Super Admin","/expenses","GET /expenses","OPB_Expenses_API"
"Expense Tracking","Expense Category Management","Create and manage expense categories (e.g. Feed, Veterinary, Utilities, Maintenance).","Super Admin","/settings/expense-categories","GET/POST/PUT /expense-categories","OPB_Expense_Categories_API"
"Expense Tracking","Expense Reporting in SAL","Daily expenses are included in the SAL Accounts Snapshot: count and total per branch.","All (via SAL)","N/A (SAL delivery)","SAL pipeline","OPB_SAL_Snapshot"
"Expense Tracking","OPSMAIL Expense Inbox","Staff can email expenses to a configured IMAP inbox. Gemini AI classifies and creates the expense record automatically.","All staff (via email)","/admin/opsmail","POST /opsmail/process-mailbox","OPB_Mailbox_Processor"
"Inquiries & Onboarding","Public Inquiry Form","Public-facing inquiry form (no login required) on the WordPress frontend. Captures owner name, phone, email, pet details, preferred dates.","Public","WordPress page","POST /public/inquiries","OPB_Public_API"
"Inquiries & Onboarding","Inquiry List & Management","Internal inquiry list with status workflow: new → reviewing → onboarding → converted / rejected.","Reception, Branch Manager, Super Admin","/inquiries","GET /inquiries","OPB_Inquiries_API"
"Inquiries & Onboarding","Inquiry Detail & Notes","View full inquiry details, add internal notes, track status history.","Reception, Branch Manager, Super Admin","/inquiries/:id","GET/POST /inquiries/:id/notes","OPB_Inquiries_API"
"Inquiries & Onboarding","Duplicate Detection","System checks for existing clients/inquiries with matching phone/email before processing a new inquiry.","Reception, Branch Manager, Super Admin","/inquiries/:id","GET /inquiries/:id/duplicate-check","OPB_Inquiries_API"
"Inquiries & Onboarding","Onboarding Link Generation","Generate a unique 64-char token URL for the client to complete their own onboarding form online.","Reception, Branch Manager, Super Admin","/inquiries/:id","POST /inquiries/:id/send-onboarding","OPB_Inquiries_API, OPB_Onboarding_Handler"
"Inquiries & Onboarding","Multi-step Online Onboarding Form","Client-facing form: personal details, pet profiles, document uploads, T&C acceptance. No WP account needed.","Public (client, via token)","WordPress page (public)","GET/POST /public/onboarding/:token","OPB_Public_API, OPB_Onboarding_Handler"
"Inquiries & Onboarding","Automatic Acknowledgement Email","Automated email sent to the inquiry owner immediately on form submission.","System","N/A","POST /public/inquiries","OPB_Notifications, OPB_Onboarding_Handler"
"Inquiries & Onboarding","WhatsApp Onboarding Message","Staff can send a configurable WhatsApp message with the onboarding link directly from the inquiry detail screen.","Reception, Branch Manager, Super Admin","/inquiries/:id","—","OPB_Notifications"
"Inquiries & Onboarding","Inquiry-to-Client Conversion","One-click convert a completed inquiry to a full client + pet record. Linked to home branch.","Reception, Branch Manager, Super Admin","/inquiries/:id","POST /inquiries/:id/convert","OPB_Inquiries_API, OPB_Onboarding_Handler"
"Reports & Analytics","Revenue Report","Revenue by branch, month, and service type. Includes total billed, paid, and outstanding amounts.","Super Admin, Branch Manager","/reports","GET /reports","OPB_Reports_API"
"Reports & Analytics","Occupancy Analytics","Occupancy rate over time per branch. Average stay length and peak occupancy periods.","Super Admin, Branch Manager","/reports","GET /reports","OPB_Reports_API"
"Reports & Analytics","Boarding Trends","Trend charts for bookings by pet type, breed size, and boarding service category.","Super Admin, Branch Manager","/reports","GET /reports","OPB_Reports_API"
"Reports & Analytics","Expense Analysis","Expense totals by category and branch. Compare income vs expenses.","Super Admin, Branch Manager","/reports","GET /reports","OPB_Reports_API"
"Reports & Analytics","Payment Mode Breakdown","Breakdown of payments received by mode: cash, card, UPI, bank transfer, wallet.","Super Admin, Branch Manager","/reports","GET /reports","OPB_Reports_API"
"Reports & Analytics","Date Range Filtering","All report views support custom date range selection. Defaults to current month.","Super Admin, Branch Manager","/reports","GET /reports?from=&to=","OPB_Reports_API"
"OPSMAIL Intelligence","Event-Driven Notification Queue","Internal queue (opb_opsmail_queue) captures all operational events. 5 hook points: booking creation, check-in, check-out, payment recorded, invoice sent.","System","/admin/opsmail","GET /opsmail/queue","OPB_Opsmail"
"OPSMAIL Intelligence","Telegram Notification Delivery","WP Cron flushes the queue every minute, delivering pending messages to the configured Telegram bot.","System (delivery) / Super Admin (view)","/admin/opsmail","POST /opsmail/process-telegram","OPB_Telegram_Consumer"
"OPSMAIL Intelligence","IMAP Email Inbox Polling","Polls a configured IMAP mailbox every 5 minutes for unstructured operational emails (e.g. expense submissions).","System","/admin/opsmail","POST /opsmail/process-mailbox","OPB_Mailbox_Processor"
"OPSMAIL Intelligence","Gemini AI Email Classification","Incoming emails are classified by Google Gemini. Recognised expense emails are auto-created as expense records.","System","/admin/opsmail/gemini-lab","POST /opsmail/gemini-run","OPB_Mailbox_Processor"
"OPSMAIL Intelligence","Queue Viewer with Acknowledge","Staff can view the full event queue, see message status, and acknowledge processed items.","Super Admin","/admin/opsmail","GET /opsmail/queue, POST /opsmail/queue/:id/acknowledge","OPB_Opsmail_API"
"OPSMAIL Intelligence","Gemini Lab (Test Interface)","Admin UI to test Gemini prompts and OPSMAIL pipeline without triggering real events.","Super Admin","/admin/opsmail/gemini-lab","POST /opsmail/test-gemini","OPB_Opsmail_API"
"OPSMAIL Intelligence","Cron Health Monitor","Displays status of all OPB cron jobs: last run, last success, next scheduled.","Super Admin","/admin/opsmail","GET /opsmail/cron-health","OPB_Cron_Health"
"OPSMAIL Intelligence","Test Telegram & Mailbox","One-click test endpoints to verify Telegram bot connectivity and IMAP mailbox access.","Super Admin","/admin/opsmail","POST /opsmail/test-telegram, /opsmail/test-mailbox","OPB_Opsmail_API"
"SAL Executive Briefings","Morning Operations Brief","Automated 07:00 Telegram brief: active boarders, today's arrivals/departures, overdue tasks, medication pets, exceptions.","System (delivery) / Super Admin (config)","/admin/sal","POST /sal/send","OPB_SAL_Formatter, OPB_SAL_Snapshot"
"SAL Executive Briefings","Evening Closure Brief","Automated 19:00 Telegram brief: actual check-ins/check-outs completed, open tasks, day summary.","System (delivery) / Super Admin (config)","/admin/sal","POST /sal/send","OPB_SAL_Formatter, OPB_SAL_Snapshot"
"SAL Executive Briefings","Accounts Snapshot","Automated financial brief: payments received today, unpaid/overdue invoices, expenses by branch. Numbers only, no interpretation.","System (delivery) / Super Admin (config)","/admin/sal","POST /sal/send","OPB_SAL_Formatter, OPB_SAL_Snapshot"
"SAL Executive Briefings","Gemini AI Formatting","Google Gemini formats the brief from structured OPB data. Produces Telegram HTML with sections, bullets, and attention items.","System","N/A","—","OPB_SAL_Formatter::call_gemini"
"SAL Executive Briefings","Deterministic Fallback","If Gemini is unavailable, a PHP-built fallback brief is delivered instead. No brief is ever silently skipped.","System","N/A","—","OPB_SAL_Formatter::deterministic_fallback"
"SAL Executive Briefings","Custom Prompt Override","Super admins can override the Gemini prompt per brief type from the SAL dashboard. Custom prompt stored in WordPress options.","Super Admin","/admin/sal → E. Prompt Customization","POST /sal/config","OPB_SAL_Formatter::build_prompt"
"SAL Executive Briefings","Preview Mode (Pipeline Inspector)","Generate a brief preview without sending. Inspect the snapshot JSON, prompt, Gemini output, and final Telegram message at each pipeline step.","Super Admin","/admin/sal → Preview Mode","POST /sal/generate","OPB_SAL_Formatter::format"
"SAL Executive Briefings","Brief History","Searchable log of all delivered briefs: type, trigger (scheduled/manual), Telegram status, timing, fallback indicator, and full message text.","Super Admin","/admin/sal → D. Brief History","GET /sal/history","OPB_SAL_API"
"SAL Executive Briefings","SAL Diagnostics","Per-brief-type diagnostics: last run, last success, last failure with error message, next scheduled run. Cron active indicator.","Super Admin","/admin/sal → F. Diagnostics","GET /sal/diagnostics","OPB_SAL_API"
"SAL Executive Briefings","Schedule Configuration","Enable/disable each brief type independently. Set custom delivery time (24h HH:MM). Separate SAL Telegram chat ID supported.","Super Admin","/admin/sal → A. Schedule","POST /sal/config","OPB_SAL_Scheduler"
"Client Self-Service Portal","Email OTP Authentication","Clients access the portal via a one-time password sent to their registered email. No WordPress account required.","Client (public)","WordPress /my-pets/","POST /client/auth/request-otp, /verify-otp","OPB_Client_Auth"
"Client Self-Service Portal","My Pets Overview","Client-facing view of all their pets' current and upcoming boarding status.","Client (authenticated)","WordPress /my-pets/","GET /client/me","OPB_Client_Portal, OPB_Client_Relationship_API"
"Client Self-Service Portal","Booking History (Client View)","Client can view their own booking history with stay details and status.","Client (authenticated)","WordPress /my-pets/","GET /client/me","OPB_Client_Relationship_API"
"Client Self-Service Portal","Invoice Access (Client View)","Client can view their invoices and download PDFs from the portal.","Client (authenticated)","WordPress /my-pets/","GET /client/me","OPB_Client_Relationship_API"
"Client Self-Service Portal","Session Management","Sessions stored in opb_client_sessions with expiry. Access log maintained in opb_client_access_log.","System","N/A","POST /client/auth/logout","OPB_Client_Auth"
"Settings & Configuration","Branch Management","Create and manage branches: name, code, location, phone, email, active status. Branches scope all operational data.","Super Admin","/settings/branches","GET/POST/PUT /branches","OPB_Branches_API"
"Settings & Configuration","Staff Management","Create WordPress users with OPB roles, assign to branches. Role determines module access and data scope.","Super Admin","/settings/staff","WordPress Users API + OPB_User_Admin","OPB_User_Admin"
"Settings & Configuration","Boarding Service Catalogue","Define boarding service types with name, description, pricing (per night / flat), and size applicability.","Super Admin","/settings/boarding","GET/POST /settings/boarding","OPB_Settings_API"
"Settings & Configuration","Add-on Service Catalogue","Define add-on services (grooming, medication admin, special meals) with pricing.","Super Admin","/settings/addons","GET/POST /settings/addons","OPB_Settings_API"
"Settings & Configuration","Kennel Configuration","Configure kennels per branch: code, name, size, status. Assign staff to kennels.","Super Admin","/settings/kennels","GET/POST/PUT/DELETE /kennels","OPB_Kennels_API"
"Settings & Configuration","Business Customization Centre","Central settings hub: facility name, support contact, legal T&C, privacy policy, messaging templates (email, WhatsApp), OPSMAIL credentials, SAL configuration.","Super Admin","/settings/customization","GET/POST /customizations","OPB_Customizations, OPB_Customizations_API"
"Settings & Configuration","Expense Category Management","Define expense categories used across all branches for consistent expense tagging.","Super Admin","/settings/expense-categories","GET/POST/PUT/DELETE /expense-categories","OPB_Expense_Categories_API"
"Settings & Configuration","Role-Based Access Control","Four custom roles: Super Admin (global), Branch Manager (branch-scoped), Reception (operational), Staff (tasks only). Enforced at every REST endpoint.","Super Admin (management)","/settings/staff","All endpoints","OPB_Roles, OPB_REST_Base"
"Settings & Configuration","Messaging Template Customization","All automated messages (onboarding, invoice, acknowledgement) are fully editable in the customization centre. Support for {{PLACEHOLDER}} variables.","Super Admin","/settings/customization","POST /customizations","OPB_Customizations"
"Settings & Configuration","Login Branding","Custom facility name and logo displayed on the WordPress admin login page.","System / Super Admin (config)","wp-login.php","—","OPB_Login_Branding"
"Data Management","Archive / Restore Clients","Super-admin-only bulk archive and selective restore of client records.","Super Admin","/admin/data-management","POST /admin/clients/:id/archive, /restore","OPB_Data_Management_API"
"Data Management","Archive / Restore Pets","Archive individual pet records. Archived pets excluded from booking selection.","Super Admin","/admin/data-management","POST /admin/pets/:id/archive, /restore","OPB_Data_Management_API"
"Data Management","Archive / Restore Bookings","Cancel and archive bookings. Full booking history preserved for reporting.","Super Admin","/admin/data-management","POST /admin/bookings/:id/cancel, /restore","OPB_Data_Management_API"
"Data Management","Archive / Restore Inquiries","Archive resolved or spam inquiries. Restorable at any time.","Super Admin","/admin/data-management","POST /admin/inquiries/:id/archive, /restore","OPB_Data_Management_API"
"Data Import","CSV / XLSX Bulk Import","Import clients, pets, and historical booking data from legacy CSV or XLSX files.","Super Admin","/import","POST /import/run","OPB_Import_API"
"Data Import","Dry-Run Mode","Validate the import file and report errors/warnings without writing to the database.","Super Admin","/import","POST /import/dry-run","OPB_Import_API"
"Data Import","Import History","Log of all past imports with record counts, errors, and timestamps.","Super Admin","/import","GET /import/history","OPB_Import_API"
"Integration & Platform","REST API (opb/v1)","Full REST API with 104 route registrations across 21 resource types. All endpoints use WP nonce authentication.","All (role-scoped)","N/A","All opb/v1/* endpoints","OPB_REST_Base"
"Integration & Platform","WordPress Plugin Architecture","Standard WP plugin structure. Hooks into WP admin, REST API, cron, and user management. Zero WooCommerce dependency.","N/A","N/A","N/A","onukonu-pet-boarding-core.php"
"Integration & Platform","React 18 SPA Frontend","Single-page React application served in the WordPress admin. Client-side routing, React Router v6, no full-page reloads.","All staff","All /wp-admin/... screens","N/A","N/A (React)"
"Integration & Platform","WP Cron Jobs (3)","opb_cron_process_mailbox (5 min), opb_cron_process_telegram (1 min), opb_sal_cron (scheduled per brief). All hooks registered via OPB_Loader.","System","N/A","N/A","OPB_Loader, OPB_SAL_Scheduler"
"Integration & Platform","mPDF PDF Engine","mPDF library installed via Composer generates print-quality PDF invoices. Images embedded as base64 for shared hosting compatibility.","System","N/A","POST /invoices/:id/document/generate","OPB_Invoice_Document"
"Integration & Platform","Google Gemini AI Integration","Gemini API used in OPSMAIL (email classification) and SAL (brief formatting). Model and API key configurable. Falls back gracefully on failure.","System / Super Admin (config)","/settings/customization, /admin/opsmail, /admin/sal","—","OPB_Mailbox_Processor, OPB_SAL_Formatter"
"Integration & Platform","Telegram Bot Integration","Telegram Bot API used for OPSMAIL notifications and SAL executive briefings. Separate chat IDs configurable per channel.","System / Super Admin (config)","/settings/customization, /admin/sal","—","OPB_Telegram_Consumer"
